date;titre;distance_km;denivele_m;fichier
03/01/2026;2026 JANVIER 03;25,5;160;gpx/2026-01-03_2026-janvier-03.gpx
10/01/2026;2026 JANVIER 10;51,2;184;gpx/2026-01-10_2026-janvier-10.gpx
17/01/2026;2026 JANVIER 17;59,2;393;gpx/2026-01-17_2026-janvier-17.gpx
24/01/2026;2026 JANVIER 24;62,1;400;gpx/2026-01-24_2026-janvier-24.gpx
31/01/2026;2026 JANVIER 31;64,8;334;gpx/2026-01-31_2026-janvier-31.gpx
14/02/2026;2026 FEVRIER 14;63,9;336;gpx/2026-02-14_2026-fevrier-14.gpx
21/02/2026;2026 FEVRIER 21;67,9;447;gpx/2026-02-21_2026-fevrier-21.gpx
28/02/2026;2026 FEVRIER 28;70,0;454;gpx/2026-02-28_2026-fevrier-28.gpx
07/03/2026;2026 MARS 07;70,0;479;gpx/2026-03-07_2026-mars-07.gpx
14/03/2026;2026 MARS 14;77,5;414;gpx/2026-03-14_2026-mars-14.gpx
21/03/2026;2026 MARS 21;78,4;314;gpx/2026-03-21_2026-mars-21.gpx
28/03/2026;2026 MARS 28;86,7;534;gpx/2026-03-28_2026-mars-28.gpx
04/04/2026;2026 AVRIL 04;83,0;598;gpx/2026-04-04_2026-avril-04.gpx
11/04/2026;2026 AVRIL 11;81,5;444;gpx/2026-04-11_2026-avril-11.gpx
18/04/2026;2026 AVRIL 18;85,7;224;gpx/2026-04-18_2026-avril-18.gpx
25/04/2026;2026 AVRIL 25;86,1;261;gpx/2026-04-25_2026-avril-25.gpx
02/05/2026;2026 MAI 02;82,4;451;gpx/2026-05-02_2026-mai-02.gpx
09/05/2026;2026 MAI 09;77,2;762;gpx/2026-05-09_2026-mai-09.gpx
16/05/2026;2026 MAI 16;85,4;351;gpx/2026-05-16_2026-mai-16.gpx
23/05/2026;2026 MAI 23;89,3;642;gpx/2026-05-23_2026-mai-23.gpx
30/05/2026;2026 MAI 30;94,9;584;gpx/2026-05-30_2026-mai-30.gpx
06/06/2026;2026 JUIN 06;107,4;746;gpx/2026-06-06_2026-juin-06.gpx
13/06/2026;2026 JUIN 13;127,2;1081;gpx/2026-06-13_2026-juin-13.gpx
20/06/2026;2026 JUIN 20;110,3;706;gpx/2026-06-20_2026-juin-20.gpx
27/06/2026;2026 JUIN 27;118,1;922;gpx/2026-06-27_2026-juin-27.gpx
04/07/2026;2026 JUILLET 04;103,9;673;gpx/2026-07-04_2026-juillet-04.gpx
11/07/2026;2026 JUILLET 11;102,2;793;gpx/2026-07-11_2026-juillet-11.gpx
18/07/2026;2026 JUILLET 18;106,9;496;gpx/2026-07-18_2026-juillet-18.gpx
25/07/2026;2026 JUILLET 25;119,2;559;gpx/2026-07-25_2026-juillet-25.gpx
01/08/2026;2026 AOUT 01;102,2;535;gpx/2026-08-01_2026-aout-01.gpx
08/08/2026;2026 AOUT 08;107,7;593;gpx/2026-08-08_2026-aout-08.gpx
15/08/2026;2026 AOUT 15;109,1;738;gpx/2026-08-15_2026-aout-15.gpx
22/08/2026;2026 AOUT 22;103,2;608;gpx/2026-08-22_2026-aout-22.gpx
29/08/2026;2026 AOUT 29;124,0;1062;gpx/2026-08-29_2026-aout-29.gpx
05/09/2026;2026 SEPTEMBRE 05;106,8;674;gpx/2026-09-05_2026-septembre-05.gpx
12/09/2026;2026 SEPTEMBRE 12;108,3;781;gpx/2026-09-12_2026-septembre-12.gpx
26/09/2026;2026 SEPTEMBRE 26;92,5;718;gpx/2026-09-26_2026-septembre-26.gpx
03/10/2026;2026 OCTOBRE 03;83,5;573;gpx/2026-10-03_2026-octobre-03.gpx
10/10/2026;2026 OCTOBRE 10;80,6;469;gpx/2026-10-10_2026-octobre-10.gpx
17/10/2026;2026 OCTOBRE 17;83,2;571;gpx/2026-10-17_2026-octobre-17.gpx
24/10/2026;2026 OCTOBRE 24;84,5;509;gpx/2026-10-24_2026-octobre-24.gpx
31/10/2026;2026 OCTOBRE 31;76,4;244;gpx/2026-10-31_2026-octobre-31.gpx
07/11/2026;2026 NOVEMBRE 07 - les Girafes;78,6;462;gpx/2026-11-07_2026-novembre-07-les-girafes.gpx
13/11/2026;2026 NOVEMBRE 13;71,0;368;gpx/2026-11-13_2026-novembre-13.gpx
21/11/2026;2026 NOVEMBRE 21;73,0;412;gpx/2026-11-21_2026-novembre-21.gpx
28/11/2026;2026 NOVEMBRE 28;72,3;363;gpx/2026-11-28_2026-novembre-28.gpx
05/12/2026;2026 DECEMBRE 05;59,6;352;gpx/2026-12-05_2026-decembre-05.gpx
12/12/2026;2026 DECEMBRE 12;59,2;191;gpx/2026-12-12_2026-decembre-12.gpx
19/12/2026;2026 DECEMBRE 19;56,8;334;gpx/2026-12-19_2026-decembre-19.gpx
26/12/2026;2026 DECEMBRE 26;59,8;384;gpx/2026-12-26_2026-decembre-26.gpx